ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,family_id,parent_id,bookkeeping,level,description,markup_description,child_family_count,child_language_count,child_dialect_count,country_ids
ital1284,Italic,Eurasia,,,ital1284,,indo1319,indo1319,False,family,,,49,86,273,
iwai1246,Iwaidjan Proper,Australia,,,iwai1246,,,,False,family,,,1,4,3,
jabu1249,Jabuti,South America,,,jabu1249,,nucl1710,nucl1710,False,family,,,0,2,0,
jica1245,Jicaquean,North America,,,jica1245,,,,False,family,,,0,2,0,
kada1291,Kadaic,Eurasia,,,kada1291,,taik1256,taik1256,False,family,,,11,15,11,
kany1246,Kanyara,Australia,,,kany1246,,pama1250,pilb1234,False,family,,,1,4,0,
kare1337,Karenic,Eurasia,,,kare1337,,sino1245,sino1245,False,family,,,12,20,16,
kart1248,Kartvelian,Eurasia,,,kart1248,,,,False,family,,,3,6,26,
kass1244,Kassite,Eurasia,,,kass1244,,uncl1493,uncl1493,False,language,,,0,0,0,IQ
katu1271,Katuic,Eurasia,,,katu1271,,aust1305,aust1305,False,family,,,10,15,23,
kere1287,Keresan,North America,,,kere1287,,,,False,family,,,0,2,6,
khan1273,Kazym-Berezover-Suryskarer Khanty,Eurasia,62.4308,66.1218,khan1273,kca,ural1272,nort3264,False,language,,,0,0,4,RU
khan1279,Khantyic,Eurasia,,,khan1279,,ural1272,ural1272,False,family,,,3,5,13,
khoe1241,Khoe,Africa,,,khoe1241,,khoe1240,khoe1240,False,family,,,10,13,43,
kiow1266,Kiowa,North America,34.9403,-98.9042,kiow1266,kio,kiow1265,kiow1265,False,language,,,0,0,0,US
kira1253,Kiranti,Eurasia,,,kira1253,,sino1245,maha1306,False,family,,,16,31,70,
koia1260,Koiarian,Papunesia,,,koia1260,,,,False,family,,,5,8,24,
koia1261,Koiaric,Papunesia,,,koia1261,,koia1260,koia1260,False,family,,,2,4,5,
koma1264,Koman,Africa,,,koma1264,,,,False,family,,,3,5,14,
kuki1246,Kuki-Chin,Eurasia,,,kuki1246,,sino1245,kuki1245,False,family,,,21,53,79,
lake1255,Lakes Plain,Papunesia,,,lake1255,,,,False,family,,,10,20,10,
lakk1238,Lakkia,Eurasia,24.1169,110.106,lakk1238,lbc,taik1256,lakk1237,False,language,,,0,0,0,CN
lamm1241,Western Pantar,Papunesia,-8.52787,124.057,lamm1241,lev,timo1261,alor1249,False,language,,,0,0,3,ID
lati1261,Latin,Eurasia,41.9026,12.4502,lati1261,lat,indo1319,impe1234,False,language,,,0,0,3,VA
lolo1265,Lolo-Burmese,Eurasia,,,lolo1265,,sino1245,burm1265,False,family,,,81,127,80,
lowe1437,Lower Sepik-Ramu,Eurasia,,,lowe1437,,,,False,family,,,18,30,10,
maba1274,Maban,Africa,,,maba1274,,,,False,family,,,5,10,25,
maid1262,Maiduan,North America,,,maid1262,,,,False,family,,,0,4,0,
mala1545,Malayo-Polynesian,Papunesia,,,mala1545,,aust1307,aust1307,False,family,,,729,1257,1833,
mand1435,Manding,Africa,,,mand1435,,mand1469,mand1434,False,family,,,7,19,41,
mand1469,Mande,Africa,,,mand1469,,,,False,family,,,56,75,177,
mang1426,Manguean,North America,,,mang1426,,otom1299,tlap1252,False,family,,,0,2,6,
mans1269,Mansic,Eurasia,,,mans1269,,ural1272,ural1272,False,family,,,1,3,4,
mari1437,Marind-Boazi-Yaqai,Papunesia,,,mari1437,,anim1240,anim1240,False,family,,,3,6,17,
mark1257,Markham,Papunesia,,,mark1257,,aust1307,huon1245,False,family,,,6,15,2,
mawe1252,Maweti-Guarani,South America,,,mawe1252,,tupi1275,tupi1275,False,family,,,28,50,42,
maya1287,Mayan,North America,,,maya1287,,,,False,family,,,24,33,9,
micr1243,Micronesian,Papunesia,,,micr1243,,aust1307,ocea1241,False,family,,,16,21,21,
midd1317,Middle English,Eurasia,51.65,-1.11,midd1317,enm,indo1319,merc1242,False,language,,,0,0,0,GB
miwo1274,Miwok-Costanoan,North America,,,miwo1274,,,,False,family,,,6,11,13,
miwo1275,Miwokan,North America,,,miwo1275,,miwo1274,miwo1274,False,family,,,3,7,5,
mixe1284,Mixe-Zoque,North America,,,mixe1284,,,,False,family,,,9,19,15,
mixt1422,Mixtecan,North America,,,mixt1422,,otom1299,amuz1253,False,family,,,16,57,35,
moha1257,Mohawk-Oneida,North America,,,moha1257,,iroq1247,nort2947,False,family,,,0,2,0,
moha1258,Mohawk,North America,43.72,-74.66836,moha1258,moh,iroq1247,moha1257,False,language,,,0,0,0,CA US
mong1329,Mongolic,Eurasia,,,mong1329,,mong1349,mong1349,False,family,,,7,15,66,
moni1258,Monic,Eurasia,,,moni1258,,aust1305,aust1305,False,family,,,0,3,3,
mund1335,Mundaic,Eurasia,,,mund1335,,aust1305,aust1305,False,family,,,11,22,29,
musk1252,Muskogean,North America,,,musk1252,,,,False,family,,,2,7,4,
naka1262,Nakanai,Papunesia,-5.59931,150.888,naka1262,nak,aust1307,naka1266,False,language,,,0,0,5,PG
narr1281,Narrow Bantu,Africa,,,narr1281,,atla1278,sout3152,False,family,,,345,558,946,
newc1243,New Caledonian,Papunesia,,,newc1243,,aust1307,sout3173,False,family,,,20,33,20,
ngay1241,Ngayarda,Australia,,,ngay1241,,pama1250,pilb1234,False,family,,,5,12,5,
nico1262,Nicobaric,Eurasia,,,nico1262,,aust1305,aust1305,False,family,,,3,5,11,
nilo1247,Nilotic,Africa,,,nilo1247,,,,False,family,,,31,55,117,
nort2923,North Halmahera,Papunesia,,,nort2923,,,,False,family,,,10,15,19,
nort2947,Northern Iroquoian,North America,,,nort2947,,iroq1247,iroq1247,False,family,,,2,10,8,
nort3160,North Germanic,Eurasia,,,nort3160,,indo1319,nort3152,False,family,,,8,15,71,
nort3165,Northwest Semitic,Eurasia,,,nort3165,,afro1255,cent2236,False,family,,,18,28,115,
nubi1251,Nubian,Africa,,,nubi1251,,,,False,family,,,7,13,15,
nucl1631,Nuclear Sentanic,Papunesia,,,nucl1631,,sent1261,sent1261,False,family,,,1,3,6,
nucl1634,Skou,Papunesia,-2.64378,140.902,nucl1634,skv,skoo1245,skou1239,False,language,,,0,0,0,ID
nucl1643,Japanese,Eurasia,35.0,135.0,nucl1643,jpn,japo1237,japa1258,False,language,,,0,0,125,JP
nucl1709,Nuclear Trans New Guinea,Papunesia,,,nucl1709,,,,False,family,,,174,316,283,
nucl1710,Nuclear-Macro-Je,South America,,,nucl1710,,,,False,family,,,15,30,16,
nucl1713,Nuclear Tirio,Papunesia,,,nucl1713,,anim1240,tiri1259,False,family,,,0,4,1,
nuri1243,Nuristani,Eurasia,,,nuri1243,,indo1319,indo1320,False,family,,,3,5,19,
nyul1248,Nyulnyulan,Australia,,,nyul1248,,,,False,family,,,7,10,7,
obol1242,Lower Cross,Africa,,,obol1242,,atla1278,delt1251,False,family,,,6,23,12,
oldc1244,Old Chinese,Eurasia,36.12,114.32,oldc1244,och,sino1245,sini1245,False,language,,,0,0,2,CN
oldg1234,Old Georgian,Eurasia,41.604313,43.06151,oldg1234,oge,kart1248,geor1253,False,language,,,0,0,0,GE
oldp1255,Old Persian,Eurasia,,,oldp1255,ope,book1242,book1242,True,language,,,0,0,0,
oldt1249,Old Telugu,Eurasia,16.1026,80.7807,oldt1249,,drav1251,telu1265,False,language,,,0,0,0,IN
onga1238,Ongamo-Maa,Africa,,,onga1238,,nilo1247,lotu1248,False,family,,,1,3,15,
osca1245,Oscan,Eurasia,40.98,15.67,osca1245,osc,indo1319,sabe1249,False,language,,,0,0,5,IT
otom1299,Otomanguean,North America,,,otom1299,,,,False,family,,,89,180,91,
otom1300,Otomi,North America,,,otom1300,,otom1299,otom1297,False,family,,,3,7,0,
pahl1241,Pahlavi,Eurasia,30.06,52.7,pahl1241,pal,indo1319,midd1352,False,language,,,0,0,0,IN
pala1331,Palaic,Eurasia,41.334,33.499,pala1331,plq,indo1319,anat1257,False,language,,,0,0,0,TR
pala1350,Palaihnihan,North America,,,pala1350,,,,False,family,,,0,2,0,
pama1250,Pama-Nyungan,Australia,,,pama1250,,,,False,family,,,150,248,208,
pama1251,Paman,Australia,,,pama1251,,pama1250,pama1250,False,family,,,35,62,20,
pear1246,Pearic,Eurasia,,,pear1246,,aust1305,aust1305,False,family,,,2,6,0,
perm1256,Permian,Eurasia,,,perm1256,,ural1272,ural1272,False,family,,,1,4,8,
phoe1239,Phoenician,Eurasia,34.12,35.65,phoe1239,phn,afro1255,phoe1238,False,language,,,0,0,0,TN
phry1239,Phrygian,Eurasia,39.613,31.28,phry1239,xpg,indo1319,grae1234,False,language,,,0,0,1,TR
poly1242,Polynesian,Papunesia,,,poly1242,,aust1307,east2445,False,family,,,18,38,54,
pomo1273,Pomoan,North America,,,pomo1273,,,,False,family,,,4,7,5,
popo1293,Popolocan-Mazatecan,North America,,,popo1293,,otom1299,popo1292,False,family,,,11,17,17,
poto1254,Potou-Tano,Africa,,,poto1254,,atla1278,nyoa1234,False,family,,,24,35,41,
quec1387,Quechuan,South America,,,quec1387,,,,False,family,,,23,44,67,
saam1281,Saami,Eurasia,,,saam1281,,ural1272,ural1272,False,family,,,6,11,4,
sali1255,Salishan,North America,,,sali1255,,,,False,family,,,10,25,38,
samo1298,Samoyedic,Eurasia,,,samo1298,,ural1272,ural1272,False,family,,,4,8,23,
sang1335,Sangiric,Papunesia,,,sang1335,,aust1307,mala1545,False,family,,,3,5,16,
sara1341,Sara-Bongo-Bagirmi,Africa,,,sara1341,,cent2225,cent2225,False,family,,,24,40,90,
sayh1236,Sayhadic,Eurasia,,,sayh1236,,afro1255,cent2236,False,family,,,0,5,0,
semi1276,Semitic,Eurasia,,,semi1276,,afro1255,afro1255,False,family,,,53,98,288,
siou1252,Siouan,North America,,,siou1252,,,,False,family,,,11,18,12,
slav1255,Slavic,Eurasia,,,slav1255,,indo1319,balt1263,False,family,,,11,20,102,
sout2830,Southern Nilotic,Africa,,,sout2830,,nilo1247,nilo1247,False,family,,,9,16,21,
sout3054,South Cushitic,Africa,,,sout3054,,afro1255,cush1243,False,family,,,3,6,1,
suga1248,Nizaa,Africa,7.12906,12.3779,suga1248,sgi,atla1278,niza1234,False,language,,,0,0,0,CM
sume1241,Sumerian,Eurasia,31.3,45.6667,sume1241,sux,,,False,language,,,0,0,0,IQ
taca1255,Tacanan,South America,,,taca1255,,pano1259,pano1259,False,family,,,4,7,0,
taik1256,Tai-Kadai,Eurasia,,,taik1256,,,,False,family,,,54,95,88,
take1257,Takelma,North America,42.423,-123.452,take1257,tkm,,,False,language,,,0,0,0,US
tara1324,Taranoan,North America,,,tara1324,,cari1283,guia1242,False,family,,,1,4,1,
timo1261,Timor-Alor-Pantar,Papunesia,,,timo1261,,,,False,family,,,13,23,50,
tokh1241,Tokharian,Eurasia,,,tokh1241,,indo1319,indo1319,False,family,,,0,2,0,
toto1251,Totonacan,North America,,,toto1251,,,,False,family,,,6,12,2,
tsim1258,Tsimshian,North America,,,tsim1258,,,,False,family,,,1,3,4,
tuca1253,Tucanoan,South America,,,tuca1253,,,,False,family,,,20,26,17,
tupi1276,Tupi-Guarani,South America,,,tupi1276,,tupi1275,awet1245,False,family,,,26,48,42,
turk1311,Turkic,Eurasia,,,turk1311,,,,False,family,,,28,44,178,
tusc1256,Tuscarora-Nottoway,North America,,,tusc1256,,iroq1247,nort2947,False,family,,,0,2,0,
tusc1257,Tuscarora,North America,43.1303,-79.4214,tusc1257,tus,iroq1247,tusc1256,False,language,,,0,0,0,CA US
ugar1238,Ugaritic,Eurasia,35.6,35.78,ugar1238,uga,afro1255,ugar1239,False,language,,,0,0,0,IL
ural1272,Uralic,Eurasia,,,ural1272,,,,False,family,,,30,48,115,
urar1245,Urartian,Eurasia,35.0333,44.3833,urar1245,xur,hurr1239,hurr1239,False,language,,,0,0,0,IQ
utoa1244,Uto-Aztecan,North America,,,utoa1244,,,,False,family,,,36,69,42,
viet1250,Vietic,Eurasia,,,viet1250,,aust1305,aust1305,False,family,,,5,9,23,
viet1252,Vietnamese,Eurasia,20.681188,105.774071,viet1252,vie,aust1305,viet1251,False,language,,,0,0,3,CN LA VN
west2582,West Tariku,Papunesia,,,west2582,,lake1255,tari1255,False,family,,,1,3,5,
west2818,Western Oceanic linkage,Papunesia,,,west2818,,aust1307,ocea1241,False,family,,,131,237,329,
will1243,Willaumez linkage,Papunesia,,,will1243,,aust1307,meso1253,False,family,,,2,4,8,
wint1259,Wintu,North America,39.7176,-122.445,wint1259,wit,wint1258,wint1258,False,language,,,0,0,2,US
worr1236,Worrorran,Australia,,,worr1236,,,,False,family,,,3,10,11,
yoku1255,Yokutsan,North America,,,yoku1255,,,,False,family,,,2,4,10,
zapo1436,Zapotecan,North America,,,zapo1436,,otom1299,popo1292,False,family,,,27,65,21,
zoqu1261,Zoque,North America,,,zoqu1261,,mixe1284,mixe1284,False,family,,,2,8,4,
